name,PA,S,m,human_r0_accuracy,human_r0_precision,human_r0_recall,human_r0_f1-score,human_r0_support,human_r1_accuracy,human_r1_precision,human_r1_recall,human_r1_f1-score,human_r1_support,human_r2_accuracy,human_r2_precision,human_r2_recall,human_r2_f1-score,human_r2_support,agg_human_mean_f1-score,agg_human_std_f1-score,agg_human_mean_precision,agg_human_std_precision,agg_human_mean_recall,agg_human_std_recall,agg_human_mean_accuracy,agg_human_std_accuracy,model_accuracy,model_precision,model_recall,model_f1-score,model_support,agg_human - model_mean_f1-score,agg_human_mean_f1-score_fmt,agg_human - model_mean_precision,agg_human_mean_precision_fmt,agg_human - model_mean_recall,agg_human_mean_recall_fmt,agg_human - model_mean_accuracy,agg_human_mean_accuracy_fmt
Pneumonia,0.6,24,0.333,0.5,0.17,0.12,0.14,8.0,0.71,1.0,0.12,0.22,8.0,0.58,0.33,0.25,0.29,8.0,0.21666666666666665,0.07505553499465133,0.5,0.44034077712607994,0.16333333333333333,0.07505553499465135,0.5966666666666667,0.10598742063723096,0.33,0.28,0.62,0.38,8.0,-0.16333333333333336,0.22$\pm$0.08,0.21999999999999997,0.50$\pm$0.44,-0.45666666666666667,0.16$\pm$0.08,0.26666666666666666,0.60$\pm$0.11
Pneumonia,0.8,82,0.012,0.9,0.11,1.0,0.2,1.0,0.98,0.33,1.0,0.5,1.0,0.9,0.11,1.0,0.2,1.0,0.3,0.17320508075688773,0.18333333333333335,0.1270170592217177,1.0,0.0,0.9266666666666666,0.046188021535170036,0.3,0.02,1.0,0.03,1.0,0.27,0.30$\pm$0.17,0.16333333333333336,0.18$\pm$0.13,0.0,1.00$\pm$0.00,0.6266666666666667,0.93$\pm$0.05
Pneumonia,1.0,394,0.005,0.98,0.12,0.5,0.2,2.0,0.99,0.5,1.0,0.67,2.0,0.97,0.08,0.5,0.14,2.0,0.3366666666666667,0.2902297940138699,0.2333333333333333,0.2318045153428495,0.6666666666666666,0.28867513459481287,0.98,0.010000000000000009,0.68,0.01,0.5,0.02,2.0,0.3166666666666667,0.34$\pm$0.29,0.2233333333333333,0.23$\pm$0.23,0.16666666666666663,0.67$\pm$0.29,0.29999999999999993,0.98$\pm$0.01
Pneumonia,All,500,0.022,0.94,0.13,0.27,0.18,11.0,0.98,0.5,0.36,0.42,11.0,0.94,0.15,0.36,0.21,11.0,0.26999999999999996,0.1307669683062202,0.26,0.2080865204668481,0.33,0.0519615242270663,0.9533333333333333,0.023094010767585053,0.6,0.03,0.64,0.07,11.0,0.19999999999999996,0.27$\pm$0.13,0.23,0.26$\pm$0.21,-0.31,0.33$\pm$0.05,0.3533333333333333,0.95$\pm$0.02
Pneumothorax,0.6,3,0.000,0.33,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.24041630560342617,,,,,,,0.00$\pm$0.00,,0.00$\pm$0.00,,0.00$\pm$0.00,,0.50$\pm$0.24
Pneumothorax,0.8,20,0.300,0.85,0.8,0.67,0.73,6.0,0.9,0.75,1.0,0.86,6.0,0.75,0.67,0.33,0.44,6.0,0.6766666666666666,0.21501937897160184,0.7400000000000001,0.06557438524302,0.6666666666666666,0.3350124375800596,0.8333333333333334,0.07637626158259735,0.7,0.0,0.0,0.0,6.0,0.6766666666666666,0.68$\pm$0.22,0.7400000000000001,0.74$\pm$0.07,0.6666666666666666,0.67$\pm$0.34,0.13333333333333341,0.83$\pm$0.08
Pneumothorax,1.0,477,0.006,1.0,1.0,1.0,1.0,3.0,1.0,0.6,1.0,0.75,3.0,1.0,1.0,0.33,0.5,3.0,0.75,0.25,0.8666666666666667,0.23094010767585033,0.7766666666666667,0.38682468035704926,1.0,0.0,1.0,1.0,0.33,0.5,3.0,0.25,0.75$\pm$0.25,-0.1333333333333333,0.87$\pm$0.23,0.4466666666666667,0.78$\pm$0.39,0.0,1.00$\pm$0.00
Pneumothorax,All,500,0.018,0.99,0.7,0.78,0.74,9.0,0.99,0.64,1.0,0.78,9.0,0.99,0.75,0.33,0.46,9.0,0.66,0.17435595774162693,0.6966666666666667,0.05507570547286101,0.7033333333333333,0.3415162270424838,0.9899999999999999,1.3597399555105182e-16,0.98,1.0,0.11,0.2,9.0,0.46,0.66$\pm$0.17,-0.30333333333333334,0.70$\pm$0.06,0.5933333333333333,0.70$\pm$0.34,0.009999999999999898,0.99$\pm$0.00
Support Devices,0.6,50,0.580,0.62,0.61,0.97,0.75,29.0,0.68,0.81,0.59,0.68,29.0,0.72,0.83,0.66,0.73,29.0,0.7200000000000001,0.03605551275463986,0.75,0.1216552506059644,0.7400000000000001,0.20223748416156684,0.6733333333333333,0.05033222956847166,0.58,0.58,1.0,0.73,29.0,-0.009999999999999898,0.72$\pm$0.04,0.17000000000000004,0.75$\pm$0.12,-0.2599999999999999,0.74$\pm$0.20,0.09333333333333338,0.67$\pm$0.05
Support Devices,0.8,105,0.705,0.9,0.9,0.97,0.94,74.0,0.89,0.97,0.86,0.91,74.0,0.92,0.97,0.92,0.94,74.0,0.93,0.017320508075688724,0.9466666666666667,0.040414518843273774,0.9166666666666666,0.05507570547286102,0.9033333333333333,0.01527525231651948,0.74,0.74,0.97,0.84,74.0,0.09000000000000008,0.93$\pm$0.02,0.20666666666666667,0.95$\pm$0.04,-0.053333333333333344,0.92$\pm$0.06,0.16333333333333333,0.90$\pm$0.02
